Date;;Thu, 15 Dec 2016 20:59:25 +0000;;;
Cite;;Wessa, P. (2016), Free Statistics Software, Office for Research Development and Education, version 1.1.23-r7, URL http://www.wessa.net/;;;
All rights reserved. Academic license for non-commercial use only.;;;;;
;;;;;
;;;;;
Select a Descriptive Statistics Module in the right panel to use the (log) returns of the (close) time series for analysis.;;;;;
;;;;;
Time Series - JPMorgan Chase;;;;;
Date;Open;High;Low;Close;Log Return
2/1/2009;31.190.001;31.639.999;30.469.999;31.35;-
5/1/2009;30.73;30.77;29.08;29.25;-0.0693
6/1/2009;29.790.001;30.42;29.51;29.879.999;0.0213
7/1/2009;29.15;29.40;28.00;28.09;-0.0618
8/1/2009;27.90;27.950.001;26.860.001;27.219.999;-0.0315
9/1/2009;27.549.999;27.549.999;25.809.999;25.969.999;-0.047
12/1/2009;25.92;26.15;24.50;24.91;-0.0417
13/1/2009;25.209.999;26.59;24.27;26.35;0.0562
14/1/2009;25.59;26.280.001;24.76;25.91;-0.0168
15/1/2009;26.540.001;27.049.999;23.76;24.34;-0.0625
16/1/2009;24.83;25.00;20.530.001;22.82;-0.0645
20/1/2009;21.00;21.27;17.700.001;18.09;-0.2323
21/1/2009;19.290.001;22.84;18.879.999;22.629.999;0.2239
22/1/2009;22.360.001;23.83;21.209.999;23.10;0.0206
23/1/2009;21.92;24.58;21.809.999;24.280.001;0.0498
26/1/2009;25.00;25.75;23.74;24.50;0.009
27/1/2009;25.120.001;25.17;24.059.999;25.059.999;0.0226
28/1/2009;27.190.001;27.77;26.34;27.66;0.0987
29/1/2009;26.74;27.18;25.25;25.43;-0.0841
30/1/2009;25.809.999;26.98;24.60;25.51;0.0031
2/2/2009;25.00;25.68;24.35;25.200.001;-0.0122
3/2/2009;25.030.001;25.450.001;23.700.001;24.049.999;-0.0467
4/2/2009;24.25;25.50;23.74;24.040.001;-0.0004
5/2/2009;23.74;25.32;22.49;24.540.001;0.0206
6/2/2009;25.51;27.799.999;25.299.999;27.629.999;0.1186
9/2/2009;26.65;27.969.999;26.299.999;27.280.001;-0.0127
10/2/2009;26.860.001;27.610.001;24.299.999;24.620.001;-0.1026
11/2/2009;25.25;26.620.001;25.139.999;26.09;0.058
12/2/2009;25.35;26.219.999;24.17;26.190.001;0.0038
13/2/2009;25.25;25.889.999;24.66;24.690.001;-0.059
17/2/2009;22.799.999;23.200.001;21.65;21.65;-0.1314
18/2/2009;22.18;22.299.999;21.00;21.51;-0.0065
19/2/2009;22.07;22.299.999;20.540.001;20.60;-0.0432
20/2/2009;19.709.999;21.00;18.75;19.90;-0.0346
23/2/2009;20.90;21.559.999;19.48;19.51;-0.0198
24/2/2009;20.129.999;21.10;18.959.999;21.02;0.0745
25/2/2009;20.83;23.219.999;20.120.001;21.73;0.0332
26/2/2009;23.32;24.18;22.799.999;23.049.999;0.059
27/2/2009;21.629.999;23.60;21.549.999;22.85;-0.0087
2/3/2009;21.700.001;22.43;21.07;21.16;-0.0768
3/3/2009;21.68;21.90;20.60;21.01;-0.0071
